IT_NO ID ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL DEBT
121 117 0 0 1625.672502 -245.200089 16375 0.003004 0.560000 3253 3253 0.000000
121 67 0 0 1911.993455 -602.128426 44336 0.002722 0.560000 4274 4274 0.000000
121 73 0 0 1852.723124 -414.942182 32840 0.002701 0.560000 3891 3891 0.000000
121 124 0 0 1865.794032 -292.542311 17948 0.002813 0.560000 3764 3764 0.000000
121 143 0 0 1452.464259 -226.415741 0 0.002956 0.560000 2998 2998 0.000000
121 31 0 0 1617.224434 -308.219212 10813 0.002967 0.560000 3381 3381 0.000000
121 148 0 0 2141.077801 -468.326832 39702 0.003648 0.560000 4401 4401 0.000000
121 109 0 0 1915.038050 -493.206549 36141 0.003385 0.560000 4082 4082 0.000000
121 131 0 0 1685.722988 -324.363361 15895 0.002869 0.560000 3508 3508 0.000000
121 58 0 0 1448.962711 -165.449635 2169 0.003067 0.560000 2871 2871 0.000000
121 47 0 0 1685.628864 -308.782181 10244 0.002922 0.560000 3508 3508 0.000000
121 68 0 0 1305.214302 -206.175648 3598 0.003099 0.560000 2679 2679 0.000000
121 130 0 0 1442.560027 -212.212044 36832 0.004196 0.560000 2679 2679 0.000000
121 80 0 0 1706.708453 -293.611547 0 0.002762 0.560000 3572 3572 0.000000
121 114 0 0 1648.716135 -208.803865 0 0.002928 0.560000 3317 3317 0.000000
121 111 0 0 2162.179197 -56.610867 25256 0.004393 0.560000 3764 3764 0.000000
121 119 0 0 1650.964099 -89.320697 7816 0.003271 0.560000 3062 3062 0.000000
121 72 0 0 1732.428867 -267.891133 0 0.002591 0.560000 3572 3572 0.000000
121 125 0 0 1441.599859 -312.467801 1220 0.002875 0.560000 3126 3126 0.000000
121 123 0 0 1544.927099 -186.497532 4731 0.003531 0.560000 3062 3062 0.000000
121 118 0 0 1539.907408 -67.852592 0 0.004152 0.560000 2871 2871 1018.933333
121 103 0 0 1948.387907 -275.287292 23044 0.003496 0.560000 3827 3827 0.000000
121 107 0 0 2056.883033 -384.519935 36572 0.003271 0.560000 4146 4146 0.000000
121 50 0 0 2007.000475 -145.911026 19925 0.004061 0.560000 3700 3700 0.000000
121 141 0 0 1842.545516 -272.282628 28629 0.004000 0.560000 3572 3572 0.000000
121 138 0 0 2007.582528 -278.105977 26738 0.003992 0.560000 3891 3891 0.000000
121 133 0 0 2175.199186 -501.894149 27682 0.003794 0.560000 4593 4593 0.000000
121 46 0 0 1821.242630 -155.364248 20786 0.004005 0.560000 3381 3381 0.000000
121 94 0 0 1820.903769 -216.482884 8651 0.004285 0.560000 3572 3572 0.000000
121 52 0 0 2118.109543 -479.620100 38175 0.003488 0.560000 4401 4401 0.000000
121 90 0 0 1718.928862 -184.558379 11537 0.003984 0.560000 3317 3317 0.000000
121 98 0 0 1705.640893 -308.835748 48745 0.003955 0.560000 3253 3253 0.000000
121 71 0 0 1621.898198 -195.002139 7885 0.003939 0.560000 3189 3189 0.000000
121 42 0 0 1756.356620 -261.130649 13804 0.003840 0.560000 3508 3508 0.000000
121 146 0 0 1734.098089 -195.104122 15703 0.004565 0.560000 3317 3317 0.000000
121 120 0 0 1718.577429 -166.938712 34301 0.004979 0.560000 3062 3062 0.000000
121 108 0 0 1952.198122 -400.101316 35624 0.003860 0.560000 3955 3955 0.000000
121 70 0 0 1792.730641 -194.293620 13121 0.004407 0.560000 3445 3445 0.000000
