IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
701 7 7 5 21 4
701 19 5 20 26 14
701 24 1 8 11 6
701 20 2 25 14 18
701 13 2 20 12 14
701 26 1 20 0 14
701 8 2 22 15 16
701 5 1 20 7 14
701 14 5 11 14 8
701 23 2 22 11 16
701 2 4 2 16 2
701 18 1 15 4 11
701 29 2 4 10 3
701 17 1 14 5 10
701 11 7 24 23 17
721 5 1 17 7 12
721 26 1 22 0 16
721 20 2 15 14 11
721 24 1 24 11 17
721 19 5 21 26 15
721 10 8 20 23 14
721 21 7 10 26 7
721 25 11 18 25 13
721 4 10 28 30 20
721 1 5 27 18 19
721 16 5 14 20 10
721 15 1 24 15 17
721 30 11 22 25 16
721 6 5 17 23 12
721 22 2 11 11 8
721 9 7 24 32 17
721 7 5 5 21 4
721 2 2 28 17 20
721 18 1 17 4 12
721 29 2 21 11 15
721 17 1 14 5 10
721 11 7 17 23 12
721 23 2 21 11 15
721 14 5 5 14 4
721 8 2 17 15 12
721 13 2 15 12 11
721 3 4 11 14 8
721 27 4 20 13 14
721 12 1 17 5 12
721 28 2 24 14 17
741 14 5 8 14 6
741 7 5 7 22 5
741 5 1 22 7 16
741 26 1 20 0 14
741 20 2 12 15 9
741 24 1 7 11 5
741 19 5 27 26 19
741 10 8 11 24 8
741 21 7 25 26 18
741 25 11 25 26 18
741 4 10 17 30 12
741 1 5 22 19 16
741 16 5 20 20 14
741 15 1 15 15 11
741 30 11 14 26 10
741 6 5 11 23 8
741 22 2 1 11 1
741 9 7 4 33 3
741 2 2 22 17 16
741 18 1 14 4 10
741 29 2 5 11 4
741 17 1 28 5 20
741 11 7 20 23 14
741 23 2 24 11 17
741 8 2 25 15 18
741 13 2 12 12 9
741 3 4 25 15 18
741 27 4 7 14 5
741 12 1 7 5 5
741 28 2 5 14 4
761 9 4 14 33 10
761 22 1 8 11 6
761 14 5 15 14 11
761 7 5 11 22 8
761 5 1 25 7 18
761 26 1 15 0 11
761 20 2 4 15 3
761 24 1 20 11 14
761 19 5 21 26 15
