IT_NO ID ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL_CONSTRUCTION DEBT
301 7 0 0 1303.646914 -435.000000 9 99.974102 0.560000 1498 1498 0.000000
301 17 0 0 1318.658581 -320.014231 8 99.974102 0.560000 1498 1498 0.000000
301 10 0 0 1323.491523 -1015.000000 15 99.974102 0.560000 1498 1498 0.000000
301 16 0 0 1378.595117 -560.000000 11 99.974102 0.560000 1498 1498 0.000000
301 13 0 0 1043.724609 -395.000000 6 99.974102 0.560000 1498 1498 0.000000
301 29 0 0 1163.595117 -775.000000 11 99.974102 0.560000 1498 1498 0.000000
301 22 0 0 1138.698711 -400.000000 7 99.974102 0.560000 1498 1498 0.000000
301 4 0 0 1388.621016 -450.000000 10 99.974102 0.560000 1498 1498 0.000000
301 1 0 0 1358.595117 -580.000000 11 99.974102 0.560000 1498 1498 0.000000
301 9 0 0 1123.698711 -415.000000 7 99.974102 0.560000 1498 1498 0.000000
301 2 0 0 1536.024570 -602.518750 13 99.974102 0.560000 1498 1498 0.000000
301 19 0 0 778.250830 -60.629170 0 99.974102 0.560000 1498 1498 0.000000
301 26 0 0 778.250830 -60.629170 0 99.974102 0.560000 1498 1498 0.000000
301 5 0 0 1416.179961 -122.518750 7 99.974102 0.560000 1498 1498 0.000000
301 3 0 0 1496.128164 -242.518750 9 99.974102 0.560000 1498 1498 0.000000
301 23 0 0 1456.076367 -482.518750 11 99.974102 0.560000 1498 1498 0.000000
301 15 0 0 1363.543320 -775.000000 13 99.974102 0.560000 1498 1498 0.000000
301 28 0 0 1118.606849 -520.065963 8 99.974102 0.560000 1498 1498 0.000000
301 25 0 0 1493.623711 -45.075000 7 99.974102 0.560000 1498 1498 0.000000
361 18 0 0 1238.776406 0.000000 4 99.974102 0.560000 1498 1498 671.666667
361 14 0 0 1323.595117 -615.000000 11 99.974102 0.560000 1498 1498 0.000000
361 12 0 0 1018.750508 -320.000000 5 99.974102 0.560000 1498 1498 0.000000
361 25 0 0 1563.597812 -75.075000 8 99.974102 0.560000 1498 1498 0.000000
361 28 0 0 1098.580951 -640.065963 9 99.974102 0.560000 1498 1498 0.000000
361 15 0 0 1258.543320 -880.000000 13 99.974102 0.560000 1498 1498 0.000000
361 23 0 0 1436.050469 -602.518750 12 99.974102 0.560000 1498 1498 0.000000
361 3 0 0 1536.102266 -302.518750 10 99.974102 0.560000 1498 1498 0.000000
361 5 0 0 1486.154062 -152.518750 8 99.974102 0.560000 1498 1498 0.000000
361 26 0 0 763.250830 -75.629170 0 99.974102 0.560000 1498 1498 0.000000
361 19 0 0 763.250830 -75.629170 0 99.974102 0.560000 1498 1498 0.000000
361 2 0 0 1585.972773 -752.518750 15 99.974102 0.560000 1498 1498 0.000000
