IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_GOODS_PRICE
661 15 5.106376 62 62 60000 0 62000 62800 0.005651
661 12 5.106376 71 71 69000 0 71000 71980 0.005659
661 6 5.106376 79 79 77000 0 79000 80140 0.005650
661 7 5.106376 76 76 72796 204 76000 68400 0.005660
661 8 5.106376 59 59 58000 0 59000 59960 0.005652
661 10 5.106376 45 45 43000 0 45000 45460 0.005653
661 5 5.106376 60 60 58000 0 60000 60760 0.005655
661 4 5.106376 57 58 56000 0 57000 57920 0.005662
661 11 5.106376 46 46 44000 0 46000 46480 0.005675
661 13 5.106376 58 58 57000 0 58000 58940 0.005671
661 14 5.106376 61 61 59000 0 61000 61780 0.005658
661 9 5.106376 77 77 75000 0 77000 78100 0.005652
681 7 5.106376 67 69 76204 0 67000 70364 0.005665
681 15 5.106855 63 63 62000 0 63000 64040 0.005651
681 12 5.106855 70 72 71000 0 70000 71620 0.005660
681 6 5.106855 78 81 79000 0 78000 79780 0.005651
681 8 5.106855 57 60 59000 0 57000 58580 0.005654
681 10 5.106855 43 46 45000 0 43000 44300 0.005655
681 5 5.106855 60 61 60000 0 60000 61200 0.005655
681 4 5.106855 57 58 57000 0 57000 58140 0.005663
681 11 5.106855 45 47 46000 0 45000 46120 0.005677
681 13 5.106855 57 59 58000 0 57000 58360 0.005673
681 14 5.106855 58 62 61000 0 58000 59820 0.005661
681 9 5.106855 77 79 77000 0 77000 78540 0.005652
701 7 5.107516 71 71 67000 0 71000 71540 0.005664
701 15 5.107516 65 65 63000 0 65000 65860 0.005651
701 12 5.107516 71 72 70000 0 71000 72200 0.005661
701 6 5.107516 75 80 78000 0 75000 77160 0.005653
701 8 5.107516 57 59 57000 0 57000 58140 0.005655
701 10 5.107516 43 45 43000 0 43000 43860 0.005656
701 4 5.107516 58 59 57000 0 58000 58940 0.005663
701 11 5.107516 45 47 45000 0 45000 45900 0.005678
701 13 5.107516 57 59 57000 0 57000 58140 0.005673
701 14 5.107516 58 60 58000 0 58000 59160 0.005661
701 9 5.107516 78 79 77000 0 78000 79340 0.005653
701 5 5.107516 62 62 60000 0 62000 62800 0.005655
721 15 5.108280 66 66 65000 0 66000 67100 0.005651
721 7 5.108280 71 72 70483 517 71000 63900 0.005665
721 12 5.108280 73 73 66036 4964 73000 65700 0.005660
721 6 5.108280 78 78 72143 2857 78000 70200 0.005653
721 8 5.108280 59 59 57000 0 59000 59740 0.005654
721 10 5.108280 44 44 43000 0 44000 44660 0.005656
721 4 5.108280 57 59 58000 0 57000 58360 0.005664
721 13 5.108280 56 59 57000 0 56000 57340 0.005675
721 14 5.108280 58 60 58000 0 58000 59160 0.005662
721 9 5.108280 75 80 69262 8738 75000 67500 0.005655
721 5 5.108280 61 63 62000 0 61000 62440 0.005656
721 11 5.108280 46 46 45000 0 46000 46700 0.005677
741 9 5.108280 68 68 70500 13238 68000 61200 0.005658
741 6 5.108280 71 71 69246 11611 71000 63900 0.005656
741 12 5.108280 66 66 67604 10360 66000 59400 0.005664
741 7 5.108280 64 64 71517 0 64000 66933 0.005670
741 15 5.108602 68 68 66000 0 68000 68920 0.005651
741 8 5.108602 60 60 59000 0 60000 60980 0.005654
741 4 5.108602 59 59 57000 0 59000 59740 0.005663
741 13 5.108602 58 58 56000 0 58000 58720 0.005674
741 14 5.108602 60 60 58000 0 60000 60760 0.005661
741 5 5.108602 63 63 61000 0 63000 63820 0.005655
