IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
4201 21 7322.013707 0.000000 3861.945337 3460.068370 66788.034366 9143.088379 -68609.109037
4261 22 8516.531356 0.000000 5039.245611 3477.285745 73526.561119 19821.885014 -84831.914777
4261 21 7101.981908 0.000000 3861.945337 3240.036571 66915.346878 8805.871650 -68619.236619
4321 22 8144.333772 0.000000 5039.245611 3105.088161 74565.220050 18470.943937 -84891.830214
4321 21 6960.577149 0.000000 3861.945337 3098.631812 68337.740525 7251.887754 -68629.051130
4381 22 7975.505517 0.000000 5039.245611 2936.259906 75451.528416 17470.195365 -84946.218264
4381 21 6631.790570 0.000000 3861.945337 2769.845233 69093.581653 6170.503759 -68632.294842
4441 22 7687.750313 0.000000 5039.245611 2648.504702 76841.552329 15843.581095 -84997.383111
4441 21 6180.021557 0.000000 3861.945337 2318.076221 69784.301481 5027.927313 -68632.207237
4501 22 7243.514948 0.000000 5039.245611 2204.269337 77721.850717 14564.145568 -85042.481337
4501 21 5848.610413 0.000000 3861.945337 1986.665076 70560.223802 3917.991124 -68629.604512
4561 22 6975.259386 0.000000 5039.245611 1936.013774 79149.059411 12910.007712 -85083.807738
4561 21 5683.176813 0.000000 3861.945337 1821.231476 71553.881307 2751.901845 -68622.606339
4621 22 6872.939633 0.000000 5039.245611 1833.694022 80023.234411 11967.306423 -85117.601201
4621 21 5538.863805 0.000000 3861.945337 1676.918468 72597.302699 1552.406614 -68610.845508
4681 22 6657.252635 0.000000 5039.245611 1618.007024 81300.883172 10504.095072 -85147.725609
4681 21 5451.703400 0.000000 3861.945337 1589.758063 73926.787085 118.747410 -68593.831095
4741 22 6623.917201 0.000000 5039.245611 1584.671590 82485.808944 9309.457770 -85171.349512
4741 21 6405.490310 1057.901436 3861.945337 1485.643538 74975.834454 0.000000 -68570.344144
4801 22 6502.906903 0.000000 5039.245611 1463.661292 83903.078870 7789.330420 -85189.502387
4801 21 7379.988961 2243.962908 3861.945337 1274.080715 75927.427632 0.000000 -68547.438671
4861 22 6383.300866 0.000000 5039.245611 1344.055255 85134.805428 6449.488779 -85200.993341
4861 21 8291.115365 3272.450029 3861.945337 1156.720000 76816.477236 0.000000 -68525.361871
4921 22 6009.254541 0.000000 5039.245611 970.008930 86346.013988 4870.592503 -85207.351950
4921 21 9149.245419 4210.650364 3861.945337 1076.649718 77653.328049 0.000000 -68504.082630
4981 22 5948.742994 0.000000 5039.245611 909.497383 87139.855620 4015.810695 -85206.923321
4981 21 10191.433126 5538.761157 3861.945337 790.726633 78675.315604 0.000000 -68483.882478
5041 22 5872.039486 0.000000 5039.245611 832.793875 88212.504867 2862.168493 -85202.633874
5041 21 11468.587705 6824.075782 3861.945337 782.566587 79933.045847 0.000000 -68464.458141
5101 22 5661.119106 0.000000 5039.245611 621.873494 89357.189588 1497.696217 -85193.766700
5101 21 12205.848086 7637.153478 3861.945337 706.749270 80651.217297 0.000000 -68445.369212
5161 22 5554.677051 0.000000 5039.245611 515.431440 89962.261490 771.273747 -85178.858185
5161 21 13504.474299 9076.230501 3861.945337 566.298460 81931.293925 0.000000 -68426.819626
5221 22 5827.229652 343.645906 5039.245611 444.338135 90987.961916 0.000000 -85160.732263
5221 21 14530.086946 10190.533463 3861.945337 477.608147 82939.024495 0.000000 -68408.937549
5281 22 6508.261438 1159.270182 5039.245611 309.745644 91647.795263 0.000000 -85139.533825
5281 21 15422.133512 11087.852876 3861.945337 472.335299 83813.603715 0.000000 -68391.470203
5341 22 8027.076221 2745.662816 5039.245611 242.167795 93145.945279 0.000000 -85118.869058
5341 21 16115.434528 12011.920344 3861.945337 241.568847 84490.418922 0.000000 -68374.984394
5401 22 8512.281653 3281.398107 5039.245611 191.637935 93611.007644 0.000000 -85098.725991
5401 21 16980.399096 12975.169384 3861.945337 143.284376 85339.659347 0.000000 -68359.260250
5461 22 9662.513418 4433.859813 5039.245611 189.407994 94741.144500 0.000000 -85078.631082
5461 21 18612.963192 14609.400768 3861.945337 141.617087 86956.845620 0.000000 -68343.882428
5521 22 10748.896536 5584.601438 5039.245611 125.049486 95807.741173 0.000000 -85058.844637
5521 21 19048.850295 15124.759733 3861.945337 62.145225 87377.529594 0.000000 -68328.679300
5581 22 11878.113067 6715.326537 5039.245611 123.540920 96917.278974 0.000000 -85039.165907
5581 21 19767.644175 15844.303318 3861.945337 61.395520 88081.452772 0.000000 -68313.808597
5641 22 12627.349876 7527.106175 5039.245611 60.998090 97646.879190 0.000000 -85019.529314
5641 21 20523.301229 16661.355892 3861.945337 -0.000000 88822.275708 0.000000 -68298.974479
5701 22 12491.636407 7452.390796 5039.245611 -0.000000 97491.919563 0.000000 -85000.283156
5701 21 21577.503056 17715.557719 3861.945337 -0.000000 89861.995241 0.000000 -68284.492184
5761 22 13039.315888 8000.070277 5039.245611 -0.000000 98020.701873 0.000000 -84981.385985
5761 21 22648.667386 18786.722049 3861.945337 -0.000000 90918.677276 0.000000 -68270.009889
5821 22 14005.389797 8966.144186 5039.245611 -0.000000 98967.878611 0.000000 -84962.488814
5821 21 22680.932485 18818.987148 3861.945337 -0.000000 90936.460080 0.000000 -68255.527594
5881 22 15172.467763 10133.222152 5039.245611 -0.000000 100116.059406 0.000000 -84943.591643
5881 21 23022.423639 19160.478302 3861.945337 -0.000000 91263.468938 0.000000 -68241.045299
5941 22 15585.073958 10545.828347 5039.245611 -0.000000 100509.768430 0.000000 -84924.694472
5941 21 23447.877778 19585.932441 3861.945337 -0.000000 91674.440782 0.000000 -68226.563004
6001 22 15676.936890 10637.691279 5039.245611 -0.000000 100582.734190 0.000000 -84905.797301
6001 21 24433.624442 20571.679105 3861.945337 -0.000000 92645.705152 0.000000 -68212.080709
6061 22 16238.482953 11199.237342 5039.245611 -0.000000 101125.383082 0.000000 -84886.900130
6061 21 24635.476877 20773.531540 3861.945337 -0.000000 92833.075291 0.000000 -68197.598414
6121 22 16340.910887 11301.665276 5039.245611 -0.000000 101208.913846 0.000000 -84868.002959
6121 21 25570.985952 21709.040615 3861.945337 -0.000000 93754.102072 0.000000 -68183.116119
6181 22 16736.157841 11696.912230 5039.245611 -0.000000 101585.263629 0.000000 -84849.105788
6181 21 26046.282030 22184.336693 3861.945337 -0.000000 94214.915854 0.000000 -68168.633824
6241 22 17146.974156 12107.728545 5039.245611 -0.000000 101977.182773 0.000000 -84830.208617
6241 21 26597.918755 22735.973418 3861.945337 -0.000000 94752.070284 0.000000 -68154.151529
6301 22 17547.394883 12508.149272 5039.245611 -0.000000 102358.706329 0.000000 -84811.311445
6301 21 27137.015236 23275.069899 3861.945337 -0.000000 95276.684471 0.000000 -68139.669234
6361 22 18412.611935 13373.366324 5039.245611 -0.000000 103205.026210 0.000000 -84792.414274
6361 21 27252.209764 23390.264427 3861.945337 -0.000000 95377.396703 0.000000 -68125.186939
6421 22 18889.985647 13850.740036 5039.245611 -0.000000 103663.502750 0.000000 -84773.517103
6421 21 27756.255619 23894.310282 3861.945337 -0.000000 95866.960264 0.000000 -68110.704644
6481 22 19987.853285 14948.607674 5039.245611 -0.000000 104742.473217 0.000000 -84754.619932
6481 21 27626.237685 23764.292348 3861.945337 -0.000000 95722.460034 0.000000 -68096.222349
6541 22 20651.003302 15611.757691 5039.245611 -0.000000 105386.726063 0.000000 -84735.722761
6541 21 27791.957264 23930.011927 3861.945337 -0.000000 95873.697318 0.000000 -68081.740054
6601 22 20921.975216 15882.729605 5039.245611 -0.000000 105638.800807 0.000000 -84716.825590
6601 21 28453.191363 24591.246026 3861.945337 -0.000000 96520.449122 0.000000 -68067.257759
6661 22 22017.418890 16978.173279 5039.245611 -0.000000 106715.347309 0.000000 -84697.928419
6661 21 28452.974951 24591.029614 3861.945337 -0.000000 96505.750415 0.000000 -68052.775464
6721 22 22181.907039 17142.661428 5039.245611 -0.000000 106860.938287 0.000000 -84679.031248
6721 21 29206.806817 25344.861480 3861.945337 -0.000000 97245.099986 0.000000 -68038.293169
6781 22 22506.179690 17466.934079 5039.245611 -0.000000 107166.313768 0.000000 -84660.134077
6781 21 29857.890541 25995.945205 3861.945337 -0.000000 97881.701416 0.000000 -68023.810874
6841 22 22864.032862 17824.787250 5039.245611 -0.000000 107505.269768 0.000000 -84641.236906
6841 21 30438.898815 26576.953479 3861.945337 -0.000000 98448.227395 0.000000 -68009.328579
6901 22 23553.726873 18514.481262 5039.245611 -0.000000 108176.066608 0.000000 -84622.339735
6901 21 30706.331183 26844.385846 3861.945337 -0.000000 98701.177467 0.000000 -67994.846284
6961 22 23853.136610 18813.890999 5039.245611 -0.000000 108456.579174 0.000000 -84603.442564
6961 21 31351.108476 27489.163139 3861.945337 -0.000000 99331.472465 0.000000 -67980.363989
7021 22 23838.062435 18798.816823 5039.245611 -0.000000 108422.607827 0.000000 -84584.545393
7021 21 32344.230468 28482.285131 3861.945337 -0.000000 100310.112162 0.000000 -67965.881694
7081 22 24676.848150 19637.602539 5039.245611 -0.000000 109242.496372 0.000000 -84565.648222
7081 21 32477.670203 28615.724866 3861.945337 -0.000000 100429.069603 0.000000 -67951.399399
7141 22 25483.441345 20444.195734 5039.245611 -0.000000 110030.192396 0.000000 -84546.751051
7141 21 32601.510056 28739.564719 3861.945337 -0.000000 100538.427160 0.000000 -67936.917104
