IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL DEBT EQUITY
481 15 0 0 0 0.000000 0 0 1874.880000 -0.000000 0 0.006143 0.560000 3348 3348 1544.833333 330.046667
481 12 0 0 0 0.000000 0 0 2649.360000 -0.000000 0 0.006225 0.560000 4731 4731 2278.701652 370.658348
541 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.006268 0.560000 3567 3567 1645.583333 351.936667
541 8 0 0 0 0.000000 0 0 1834.560000 0.000000 0 0.006258 0.560000 3276 3276 1511.250000 323.310000
541 14 0 0 0 0.000000 0 0 2201.360000 -0.000000 0 0.006224 0.560000 3931 3931 1813.500000 387.860000
541 11 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006240 0.560000 4222 4222 1965.792754 398.527246
541 12 0 0 0 0.000000 0 0 2649.360000 -0.000000 0 0.006256 0.560000 4731 4731 2278.701652 370.658348
541 7 0 0 0 0.000000 0 0 2853.200000 0.000000 0 0.006283 0.560000 5095 5095 2350.833333 502.366667
541 15 0 0 0 0.000000 0 0 1874.880000 -0.000000 0 0.006264 0.560000 3348 3348 1544.833333 330.046667
541 4 0 0 0 0.000000 0 0 2282.560000 -0.000000 0 0.006234 0.560000 4076 4076 1880.666667 401.893333
541 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.006246 0.560000 2548 2548 1175.416667 251.463333
541 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006230 0.560000 4222 4222 1947.833333 416.486667
541 6 0 0 0 0.000000 0 0 2323.440000 -0.000000 0 0.006277 0.560000 4149 4149 1914.250000 409.190000
541 13 0 0 0 0.000000 0 0 2772.000000 -0.000000 0 0.006251 0.560000 4950 4950 2394.089484 377.910516
601 4 0 0 0 0.000000 0 0 2282.560000 -0.000000 0 0.006392 0.560000 4076 4076 1880.666667 401.893333
601 13 0 0 0 0.000000 0 0 2772.000000 -0.000000 0 0.006408 0.560000 4950 4950 2394.089484 377.910516
601 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006389 0.560000 4222 4222 1947.833333 416.486667
601 12 0 0 0 0.000000 0 0 2649.360000 -0.000000 0 0.006412 0.560000 4731 4731 2278.701652 370.658348
