IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_HOUSE_PRICE
1621 2 5.158937 23 15 0 7 1 10 142.603751
1621 3 5.158937 18 26 0 7 1 18 142.603751
1621 1 5.158937 28 22 2 3 1 15 142.603751
1641 2 5.158937 15 6 1 7 1 4 142.273980
1641 3 5.160843 26 3 2 6 1 2 142.273980
1641 1 5.158937 22 12 1 4 2 8 142.273980
1661 1 5.158937 12 2 0 5 1 1 142.173202
1661 3 5.160843 3 10 1 6 1 7 142.173202
1661 2 5.158937 6 8 0 7 0 5 142.173202
1681 1 5.158937 2 10 0 5 0 7 141.871084
1681 3 5.151987 10 9 0 6 0 6 141.871084
1681 2 5.151987 8 3 0 8 1 2 141.871084
1701 2 5.151987 3 20 0 8 0 14 142.248332
1701 3 5.151987 9 28 1 6 1 19 142.248332
1701 1 5.147632 10 20 1 5 1 14 142.248332
1721 1 5.143645 20 22 0 6 1 15 142.477510
1721 3 5.143645 28 26 1 6 1 18 142.477510
1721 2 5.143645 20 22 1 8 1 15 142.477510
1741 2 5.151329 22 23 1 9 2 16 142.704349
1741 1 5.151329 22 15 1 7 2 10 142.704349
1741 3 5.143645 26 22 2 6 2 15 142.704349
1761 3 5.143645 22 29 1 6 1 20 142.855287
1761 1 5.151329 15 16 0 8 1 11 142.855287
1761 2 5.156390 23 18 1 9 1 12 142.855287
1781 2 5.156390 18 26 0 9 0 18 143.015999
1781 1 5.157590 16 13 1 8 1 9 143.015999
1781 3 5.157590 29 16 3 4 1 11 143.015999
1801 3 5.157590 16 28 0 5 1 19 143.194769
1801 1 5.157590 13 12 1 8 1 8 143.194769
1801 2 5.159747 26 23 1 9 1 16 143.194769
1821 2 5.159747 23 12 0 11 2 8 143.448224
1821 3 5.161658 28 16 0 7 2 11 143.448224
1821 1 5.157590 12 13 2 6 0 9 143.448224
1841 3 5.161658 16 16 2 6 1 11 143.684491
1841 2 5.159747 12 23 0 11 0 16 143.684491
1841 1 5.164916 13 28 2 5 1 19 143.684491
1861 1 5.164577 28 29 0 6 1 20 143.880860
1861 3 5.161658 16 22 1 6 1 15 143.880860
1861 2 5.164577 23 26 2 10 1 18 143.880860
1881 3 5.171462 22 23 1 5 0 16 144.060711
1881 2 5.171462 26 13 0 12 2 9 144.060711
1881 1 5.171462 29 19 0 7 1 13 144.060711
1901 1 5.171462 19 25 1 7 1 17 144.307277
1901 2 5.171462 13 15 1 12 1 10 144.307277
1901 3 5.174398 23 20 0 6 1 14 144.307277
1921 2 5.174222 15 26 0 13 1 18 144.415507
1921 1 5.174222 25 25 1 7 1 17 144.415507
1921 3 5.174398 20 16 1 7 2 11 144.415507
1941 1 5.174222 25 23 0 9 2 16 144.654695
1941 2 5.176586 26 28 2 12 1 19 144.654695
1941 3 5.174398 16 10 0 9 2 7 144.654695
1961 3 5.174398 10 5 1 9 1 3 144.422645
1961 1 5.174222 23 6 2 8 1 4 144.422645
1961 2 5.177896 28 10 2 12 2 7 144.422645
1981 1 5.174222 6 8 0 9 1 5 143.534446
1981 3 5.174398 5 5 0 9 0 3 143.534446
1981 2 5.177896 10 12 0 12 0 8 143.534446
2001 3 5.174398 5 15 0 9 0 10 143.618174
2001 1 5.173543 8 19 0 10 1 13 143.618174
2001 2 5.173543 12 18 1 11 0 12 143.618174
2021 3 5.172357 15 16 0 10 1 11 143.709930
2021 2 5.172357 18 13 1 12 2 9 143.709930
2021 1 5.172357 19 22 0 11 1 15 143.709930
2041 2 5.172357 13 10 0 14 2 7 143.709930
2041 3 5.174131 16 9 0 11 1 6 143.709930
2041 1 5.174131 22 25 1 12 2 17 143.709930
2061 3 5.174131 9 29 0 12 1 20 143.822203
2061 2 5.172357 10 29 1 13 0 20 143.822203
2061 1 5.172334 25 18 1 12 1 12 143.822203
2081 2 5.170981 29 23 0 15 2 16 143.882129
2081 3 5.170981 29 12 1 11 0 8 143.882129
2081 1 5.172334 18 19 2 10 0 13 143.882129
2101 1 5.181656 19 12 0 11 1 8 143.894120
2101 3 5.170981 12 20 0 12 1 14 143.894120
2101 2 5.170981 23 20 0 16 1 14 143.894120
2121 3 5.179707 20 19 0 13 1 13 143.930093
