IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL_CONSTRUCTION DEBT EQUITY
2821 3 1 0 0 17308.576046 0 1 656.428808 -17308.576046 147 117.868060 0.560000 1140 1140 0.000000 656.428808
2821 1 1 0 0 15118.932421 0 1 2610.336312 -15118.932421 145 117.868060 0.560000 1140 1140 0.000000 2610.336312
2881 2 1 0 1 0.000000 0 0 18318.609035 0.000000 150 117.868060 0.560000 1140 1140 0.000000 18318.609035
2881 3 1 0 0 17999.298345 0 1 437.178750 -17999.298345 151 117.868060 0.560000 1140 1140 0.000000 437.178750
2881 1 1 0 0 15906.324781 0 1 2176.548133 -15906.324781 148 117.868060 0.560000 1140 1140 0.000000 2176.548133
2941 2 1 0 1 0.000000 0 0 18672.213215 0.000000 153 117.868060 0.560000 1140 1140 0.000000 18672.213215
2941 1 1 0 0 16520.419289 0 1 2151.793926 -16520.419289 153 117.868060 0.560000 1140 1140 0.000000 2151.793926
2941 3 1 0 0 18589.724864 0 1 200.356412 -18589.724864 154 117.868060 0.560000 1140 1140 0.000000 200.356412
3001 2 1 0 1 0.000000 0 0 19261.553516 0.000000 158 117.868060 0.560000 1140 1140 0.000000 19261.553516
3001 3 1 0 0 19118.095842 0 1 143.457675 -19118.095842 158 117.868060 0.560000 1140 1140 0.000000 143.457675
3001 1 1 0 0 17099.654822 0 1 1926.162574 -17099.654822 156 117.868060 0.560000 1140 1140 0.000000 1926.162574
3061 2 1 0 1 0.000000 0 0 19379.421577 0.000000 159 117.868060 0.560000 1140 1140 0.000000 19379.421577
3061 1 1 0 0 17793.822109 0 1 1585.599468 -17793.822109 159 117.868060 0.560000 1140 1140 0.000000 1585.599468
3061 3 1 0 0 19938.475362 1 1 -205.449605 -19938.475362 162 117.868060 0.560000 1140 1140 0.000000 -205.449605
3121 2 1 0 1 0.000000 0 0 20086.629938 0.000000 165 117.868060 0.560000 1140 1140 0.000000 20086.629938
3121 3 1 0 1 0.000000 0 0 756.268060 -0.000000 1 117.868060 0.560000 1140 1140 127.683509 628.584551
3121 1 1 0 0 18595.275449 0 1 1255.618369 -18595.275449 163 117.868060 0.560000 1140 1140 0.000000 1255.618369
3181 3 1 0 1 0.000000 0 0 1227.740301 -0.000000 5 117.868060 0.560000 1140 1140 127.683509 1100.056792
3181 1 1 0 0 19432.117514 0 1 890.248545 -19432.117514 167 117.868060 0.560000 1140 1140 0.000000 890.248545
3181 2 1 0 0 773.793835 0 1 19666.440283 -773.793835 168 117.868060 0.560000 1140 1140 0.000000 19666.440283
3241 2 1 0 1 0.000000 0 0 20793.838299 0.000000 171 117.868060 0.560000 1140 1140 0.000000 20793.838299
3241 1 1 0 0 20135.541750 0 1 776.164610 -20135.541750 172 117.868060 0.560000 1140 1140 0.000000 776.164610
3241 3 1 0 0 804.317128 0 1 1013.266558 -803.814044 10 117.868060 0.560000 1140 1140 0.000000 1013.266558
3301 3 1 0 1 0.000000 0 0 2170.684783 0.000000 13 117.868060 0.560000 1140 1140 0.000000 2170.684783
3301 2 1 0 1 0.000000 0 0 21265.310540 0.000000 175 117.868060 0.560000 1140 1140 0.000000 21265.310540
3301 1 1 0 0 20695.711503 0 1 569.599037 -20695.711503 175 117.868060 0.560000 1140 1140 0.000000 569.599037
3361 2 1 0 1 0.000000 0 0 21736.782781 0.000000 179 117.868060 0.560000 1140 1140 0.000000 21736.782781
3361 3 1 0 1 0.000000 0 0 2760.025084 0.000000 18 117.868060 0.560000 1140 1140 0.000000 2760.025084
3361 1 1 0 0 21301.496004 0 1 199.550657 -21301.496004 177 117.868060 0.560000 1140 1140 0.000000 199.550657
3421 2 1 0 1 0.000000 0 0 22208.255022 0.000000 183 117.868060 0.560000 1140 1140 0.000000 22208.255022
3421 3 1 0 1 0.000000 0 0 3113.629265 0.000000 21 117.868060 0.560000 1140 1140 0.000000 3113.629265
3421 1 1 0 0 22077.102944 1 1 -104.584043 -22077.102944 181 117.868060 0.560000 1140 1140 0.000000 -104.584043
3481 2 1 0 1 0.000000 0 0 22561.859203 0.000000 186 117.868060 0.560000 1140 1140 0.000000 22561.859203
3481 1 1 0 1 0.000000 0 0 638.400000 0.000000 0 117.868060 0.560000 1140 1140 127.683509 510.716491
3481 3 1 0 1 0.000000 0 0 3349.365385 0.000000 23 117.868060 0.560000 1140 1140 0.000000 3349.365385
3541 3 1 0 1 0.000000 0 0 3938.705686 0.000000 28 117.868060 0.560000 1140 1140 0.000000 3938.705686
3541 1 1 0 1 0.000000 0 0 874.136120 -0.000000 2 117.868060 0.560000 1140 1140 127.683509 746.452612
3541 2 1 0 0 839.127440 0 1 22076.335943 -839.127440 189 117.868060 0.560000 1140 1140 0.000000 22076.335943
